 구분 ,  세대수  ,  인구수(계)  ,  인구수(남)  ,  인구수(여)  ,  18세이상인구수(계)  ,  18세이상인구수(남)  ,  18세이상인구수(여)  ,  65세이상인구수(계)  ,  65세이상인구수(남)  ,  65세이상인구수(여)  ,  통  ,  반  ,  면적(제곱킬로미터)    ,   구성비(퍼센트) 
 대연1동 ,9417,15126,7620,7506,14362,7246,7116,3930,1631,2299,31,175,1,4
 대연3동 ,18242,35959,17556,18403,30847,14858,15989,5389,2344,3045,33,289,4,14
 대연4동 ,6318,13842,6687,7155,11902,5713,6189,3602,1526,2076,20,156,1,4
 대연5동 ,8375,16153,7721,8432,14544,6861,7683,3951,1688,2263,18,112,1,4
 대연6동 ,6261,15711,7517,8194,12766,6054,6712,2849,1239,1610,16,107,1,4
 용호1동 ,17202,42054,20071,21983,35979,16996,18983,10023,4394,5629,43,361,2,6
 용호2동 ,8009,19165,9213,9952,16324,7745,8579,4772,2121,2651,22,183,2,8
 용호3동 ,5069,10072,4823,5249,9353,4456,4897,3615,1551,2064,18,119,2,7
 용호4동 ,3683,7538,3598,3940,6854,3256,3598,2355,986,1369,14,90,2,6
 용 당 동 ,3457,7588,3852,3736,6761,3432,3329,2066,950,1116,14,84,4,14
 감만1동 ,3528,7606,3904,3702,6889,3532,3357,2220,1027,1193,14,84,3,10
 감만2동 ,3232,6158,2999,3159,5753,2789,2964,2392,964,1428,14,85,1,3
 우암동 ,5553,11750,5684,6066,10804,5170,5634,4354,1842,2512,29,219,1,5
 문현1동 ,4671,10417,5072,5345,9384,4511,4873,3067,1310,1757,19,129,1,3
 문현2동 ,4991,8142,4020,4122,7557,3713,3844,2185,930,1255,16,102,1,2
 문현3동 ,6963,15987,7790,8197,13975,6775,7200,3825,1635,2190,23,155,1,3
 문현4동 ,4204,8489,4122,4367,7801,3755,4046,2616,1088,1528,17,126,1,3
