연월,세대수,인구,남,여,인구증감,인구증가율,생연1동(세대수),생연1동(계),생연1동(남),생연1동(여),생연2동(세대수),생연2동(계),생연2동(남),생연2동(여),중앙동(세대수),중앙동(계),중앙동(남),중앙동(여),보산동(세대수),보산동(계),보산동(남),보산동((여),불현동(세대수),불현동(계),불현동(남),불현동(여),송내동(세대수),송내동(계),송내동(남),송내동(여),소요동(세대수),소요동(계),소요동(남),소요동(여),상패동(세대수),상패동(계),상패동(남),상패동(여)
2025-08-01,43554,86875,43304,43571,-75,-0.09,3171,6072,3073,2999,4968,10553,5133,5420,2804,4315,2227,2088,1514,2592,1299,1293,12321,25082,12336,12746,11802,25401,12419,12982,4348,8273,4336,3937,2626,4587,2481,2106
2025-07-01,43579,86950,43339,43611,65,0.07,3175,6065,3068,2997,4970,10578,5140,5438,2823,4341,2239,2102,1514,2590,1299,1291,12294,25091,12348,12743,11797,25374,12400,12974,4368,8290,4354,3936,2638,4621,2491,2130
2025-06-01,43515,86885,43319,43566,190,0.22,3181,6079,3080,2999,4967,10590,5150,5440,2829,4360,2250,2110,1518,2597,1298,1299,12245,25032,12323,12709,11750,25290,12360,12930,4375,8286,4351,3935,2650,4651,2507,2144
2025-05-01,43303,86695,43208,43487,49,0.06,3179,6092,3073,3019,4978,10626,5173,5453,2829,4363,2253,2110,1527,2614,1307,1307,12136,24928,12270,12658,11632,25131,12273,12858,4368,8272,4345,3927,2654,4669,2514,2155
2025-04-01,43183,86646,43215,43431,-39,-0.04,3184,6123,3085,3038,4983,10667,5196,5471,2835,4378,2261,2117,1535,2635,1321,1314,12128,24993,12321,12672,11464,24856,12131,12725,4388,8317,4381,3936,2666,4677,2519,2158
2025-03-01,43135,86685,43239,43446,-122,-0.14,3186,6132,3099,3033,5004,10733,5219,5514,2837,4388,2262,2126,1535,2620,1312,1308,12096,24987,12325,12662,11427,24800,12100,12700,4378,8322,4390,3932,2672,4703,2532,2171
2025-02-01,43117,86807,43260,43547,-31,-0.04,3198,6175,3113,3062,5013,10777,5239,5538,2842,4406,2267,2139,1541,2647,1322,1325,12047,24904,12275,12629,11426,24847,12113,12734,4383,8353,4406,3947,2667,4698,2525,2173
2025-01-01,43096,86838,43264,43574,-51,-0.06,3199,6182,3120,3062,5014,10781,5243,5538,2851,4418,2277,2141,1533,2640,1314,1326,11977,24818,12206,12612,11434,24873,12128,12745,4393,8379,4422,3957,2695,4747,2554,2193
2024-12-01,43107,86889,43274,43615,-38,-0.04,3202,6187,3134,3053,5023,10794,5238,5556,2860,4432,2289,2143,1540,2651,1316,1335,11946,24771,12166,12605,11421,24876,12125,12751,4409,8407,4439,3968,2706,4771,2567,2204
2024-11-01,43098,86927,43287,43640,-172,-0.2,3218,6226,3156,3070,5009,10787,5235,5552,2875,4458,2302,2156,1531,2630,1306,1324,11923,24745,12157,12588,11413,24871,12123,12748,4414,8415,4434,3981,2715,4795,2574,2221
2024-10-01,43156,87099,43388,43711,-58,-0.07,3230,6253,3178,3075,5012,10801,5245,5556,2885,4476,2325,2151,1542,2655,1319,1336,11928,24826,12172,12654,11421,24869,12141,12141,4424,8430,4434,4434,2714,4789,2574,2215
2024-09-01,43177,87157,43439,43718,-164,-0.19,3220,6242,3162,3080,5025,10811,5256,5555,2900,4503,2341,2162,1534,2640,1313,1327,11934,24850,12198,12652,11409,24857,12146,12711,4438,8459,4440,4019,2717,4795,2583,2212
2024-08-01,43240,87321,43531,43790,-178,-0.2,3229,6268,3176,3092,5034,10843,5266,5577,2913,4528,2350,2178,1548,2665,1324,1341,11939,24889,12226,12663,11414,24870,12168,12702,4435,8464,4437,4027,2728,4794,2584,2210
2024-07-01,43221,87499,43611,43888,-64,-0.07,3227,6286,3175,3111,5033,10840,5268,5572,2911,4533,2346,2187,1546,2677,1330,1347,11913,24942,12247,12695,11414,24926,12191,12735,4445,8477,4453,4024,2732,4818,2601,2217
2024-06-01,43223,87563,43654,43909,-162,-0.18,3236,6311,3180,3131,5032,10850,5277,5573,2889,4501,2336,2165,1547,2675,1324,1351,11912,24963,12264,12699,11416,24934,12191,12743,4450,8503,4470,4033,2741,4826,2612,2214
2024-05-01,43213,87725,43733,43992,-150,-0.17,3229,6311,3179,3132,5041,10882,5287,5595,2899,4521,2343,2178,1541,2667,1320,1347,11913,25028,12295,12733,11408,24969,12217,12752,4443,8506,4471,4035,2739,4841,2621,2220
2024-04-01,43235,87875,43810,44065,-380,-0.43,3235,6360,3204,3156,5041,10913,5303,5610,2898,4517,2344,2173,1546,2681,1324,1357,11910,25036,12308,12728,11405,25001,12232,12769,4448,8500,4461,4039,2752,4867,2634,2233
2024-03-01,43317,88255,43978,44277,-284,-0.32,3233,6375,3212,3163,5037,10960,5323,5637,2902,4514,2341,2173,1550,2692,1332,1360,11946,25176,12360,12816,11425,25100,12277,12823,4444,8508,4465,4043,2780,4930,2668,2262
2024-02-01,43366,88539,44123,44416,-87,-0.1,3240,6403,3221,3182,5040,10970,5323,5647,2909,4521,2348,2173,1549,2700,1333,1367,11991,25303,12428,12875,11417,25156,12317,12839,4441,8539,4471,4068,2779,4947,2682,2265
2024-01-01,43366,88626,44198,44428,-161,-0.18,3241,6390,3212,3178,5033,10993,5343,5650,2905,4523,2355,2168,1548,2707,1331,1376,12016,25385,12479,12906,11388,25103,12313,12790,4441,8539,4461,4078,2794,4986,2704,2282
2023-12-01,43361,88787,44272,44515,-33,-0.04,3250,6425,3226,3199,5054,11051,5383,5668,2908,4520,2355,2165,1546,2723,1336,1387,12024,25475,12516,12959,11336,25015,12269,12746,4442,8569,4476,4093,2801,5009,2711,2298
2023-11-01,43356,88820,44288,44532,-217,-0.24,3270,6473,3255,3218,5085,11122,5414,5708,2921,4543,2362,2181,1548,2725,1333,1392,12045,25609,12581,13028,11221,24712,12134,12578,4457,8610,4488,4122,2809,5026,2721,2305
2023-10-01,43398,89037,44394,44643,-137,-0.15,3265,6474,3253,3221,5101,11163,5436,5727,2936,4575,2368,2207,1557,2739,1338,1401,12064,25674,12607,13067,11194,24737,12153,12584,4472,8635,4516,4119,2809,5040,2723,2317
2023-09-01,43419,89174,44450,44724,-142,-0.16,3269,6485,3258,3227,5094,11154,5438,5716,2933,4579,2375,2204,1561,2744,1331,1413,12083,25766,12657,13109,11200,24744,12141,12603,4459,8633,4508,4125,2820,5069,2742,2327
2023-08-01,43455,89316,44529,44787,-353,-0.39,3276,6536,3290,3246,5101,11216,5481,5735,2947,4607,2393,2214,1570,2761,1338,1423,12085,25762,12645,13117,11195,24739,12148,12591,4468,8655,4516,4139,2813,5040,2718,2322
2023-07-01,43549,89669,44685,44984,-430,-0.48,3281,6568,3309,3259,5119,11281,5509,5772,2959,4635,2406,2229,1580,2778,1341,1437,12095,25842,12679,13163,11231,24855,12212,12643,4469,8666,4513,4153,2815,5044,2716,2328
2023-06-01,43669,90099,44930,45169,-361,-0.4,3289,6582,3321,3261,5138,11343,5542,5801,2963,4656,2423,2233,1587,2786,1345,1441,12130,25951,12737,13214,11258,25004,12298,12706,4485,8713,4539,4174,2819,5064,2725,2339
2023-05-01,43744,90460,45117,45343,-122,-0.13,3292,6600,3325,3275,5158,11391,5575,5816,2972,4681,2435,2246,1596,2811,1362,1449,12146,26064,12787,13277,11260,25080,12330,12750,4510,8759,4569,4190,2810,5074,2734,2340
2023-04-01,43756,90582,45205,45377,-301,-0.33,3306,6624,3337,3287,5171,11431,5592,5839,2978,4687,2437,2250,1604,2819,1373,1446,12138,26079,12810,13269,11276,25113,12352,12761,4473,8731,4554,4177,2810,5098,2750,2348
2023-03-01,43841,90883,45346,45537,-372,-0.41,3316,6656,3355,3301,5177,11458,5610,5848,2985,4702,2444,2258,1599,2822,1374,1448,12155,26146,12829,13317,11297,25199,12397,12802,4484,8767,4573,4194,2828,5133,2764,2369
2023-02-01,43897,91255,45521,45734,-291,-0.32,3316,6674,3369,3305,5181,11496,5631,5865,2981,4706,2453,2253,1605,2843,1386,1457,12177,26226,12852,13374,11321,25360,12477,12883,4478,8783,4577,4206,2838,5167,2776,2391
2023-01-01,43973,91546,45673,45873,-189,-0.21,3330,6692,3377,3315,5180,11529,5641,5888,2986,4713,2454,2259,1619,2872,1399,1473,12165,26240,12855,13385,11360,25472,12548,12924,4491,8846,4615,4231,2842,5182,2784,2398
2022-12-01,44005,91735,45737,45998,-245,-0.27,3343,6720,3391,3329,5187,11570,5650,5920,2992,4734,2463,2271,1629,2899,1411,1488,12149,26231,12852,13379,11364,25522,12559,12963,4494,8879,4629,4250,2847,5180,2782,2398
2022-11-01,44079,91980,45875,46105,-104,-0.11,3365,6763,3411,3352,5204,11603,5675,5928,3019,4769,2488,2281,1633,2907,1418,1489,12154,26299,12895,13404,11365,25514,12557,12957,4499,8928,4654,4274,2840,5197,2777,2420
2022-10-01,44100,92084,45934,46150,-660,-0.71,3350,6756,3398,3358,5207,11618,5684,5934,3015,4758,2489,2269,1640,2931,1430,1501,12152,26333,12910,13423,11389,25534,12581,12953,4499,8938,4659,4279,2848,5216,2783,2433
2022-09-01,44520,92744,46252,46492,-96,-0.1,3408,6848,3450,3398,5262,11690,5721,5969,3074,4863,2567,2296,1705,2991,1445,1546,12251,26490,12973,13517,11394,25594,12608,12986,4531,8978,4674,4304,2895,5290,2814,2476
2022-08-01,44487,92840,46318,46522,-159,-0.17,3406,6863,3462,3401,5273,11706,5729,5977,3073,4859,2565,2294,1693,2972,1440,1532,12232,26558,13001,13557,11395,25639,12637,13002,4524,8963,4677,4286,2891,5280,2807,2473
2022-07-01,44478,92999,46398,46601,-190,-0.2,3401,6853,3448,3405,5281,11757,5759,5998,3092,4879,2576,2303,1693,2982,1447,1535,12247,26671,13071,13600,11381,25615,12621,12994,4501,8971,4678,4293,2882,5271,2798,2473
2022-06-01,44481,93189,46501,46688,-71,-0.08,3395,6848,3439,3409,5280,11765,5757,6008,3104,4892,2575,2317,1694,2987,1447,1540,12246,26747,13136,13611,11386,25694,12657,13037,4495,8977,4674,4303,2881,5279,2816,2463
2022-05-01,44436,93260,46540,46720,-86,-0.09,3401,6891,3468,3423,5275,11776,5758,6018,3112,4916,2587,2329,1678,2962,1437,1525,12240,26751,13143,13608,11381,25749,12679,13070,4466,8924,4645,4279,2883,5291,2823,2468
2022-04-01,44422,93346,46590,46756,-49,-0.05,3410,6909,3481,3428,5286,11803,5778,6025,3117,4936,2597,2339,1683,2976,1440,1536,12216,26735,13134,13601,11379,25780,12690,13090,4460,8928,4655,4273,2871,5279,2815,2464
2022-03-01,44393,93395,46607,46788,-132,-0.14,3407,6924,3476,3448,5291,11832,5798,6034,3105,4905,2584,2321,1679,2944,1426,1518,12213,26768,13148,13620,11364,25815,12700,13115,4467,8926,4652,4274,2867,5281,2823,2458
2022-02-01,44388,93527,46663,46864,-65,-0.07,3397,6919,3483,3436,5309,11872,5819,6053,3117,4925,2597,2328,1677,2947,1431,1516,12211,26804,13157,13647,11352,25862,12711,13151,4463,8922,4652,4270,2862,5276,2813,2463
2022-01-01,44369,93592,46694,46898,64,0.07,3402,6940,3495,3445,5317,11901,5827,6074,3127,4932,2596,2336,1677,2946,1430,1516,12198,26866,13185,13681,11329,25829,12704,13125,4453,8899,4642,4257,2866,5279,2815,2464
2021-12-01,44225,93528,46672,46856,20,0.02,3384,6915,3472,3443,5316,11907,5843,6064,3132,4946,2602,2344,1675,2940,1429,1511,12169,26911,13222,13689,11275,25800,12690,13110,4425,8849,4609,4240,2849,5260,2805,2455
2021-11-01,44159,93508,46659,46849,29,0.03,3383,6910,3468,3442,5311,11917,5844,6073,3132,4946,2608,2338,1666,2925,1421,1504,12151,26914,13215,13699,11240,25753,12671,13082,4427,8868,4615,4253,2849,5275,2817,2458
2021-10-01,44036,93479,46661,46818,65,0.07,3365,6926,3468,3458,5309,11924,5846,6078,3135,4975,2622,2353,1651,2911,1414,1497,12164,26996,13288,13708,11146,25608,12600,13008,4413,8844,4598,4246,2853,5295,2825,2470
2021-09-01,43867,93414,46627,46787,-33,-0.04,3371,6961,3488,3473,5310,11955,5854,6101,3125,4965,2613,2352,1646,2917,1420,1497,12184,27097,13341,13756,10954,25381,12495,12886,4416,8834,4587,4247,2861,5304,2829,2475
2021-08-01,43797,93447,46675,46772,93,0.1,3348,6938,3470,3468,5301,11979,5864,6115,3128,4960,2609,2351,1652,2937,1434,1503,12168,27094,13358,13736,10934,25394,12516,12878,4413,8838,4588,4250,2853,5307,2836,2471
2021-07-01,43688,93354,46626,46728,62,0.07,3334,6901,3449,3452,5313,12001,5880,6121,3125,4961,2602,2359,1648,2944,1438,1506,12131,27056,13339,13717,10898,25372,12505,12867,4386,8808,4573,4235,2853,5311,2840,2471
2021-06-01,43554,93292,46606,46686,3,0,3311,6872,3440,3432,5315,12026,5895,6131,3119,4954,2595,2359,1644,2950,1442,1508,12109,27093,13359,13734,10837,25302,12468,12834,4350,8756,4559,4197,2869,5339,2848,2491
2021-05-01,43471,93289,46610,46679,-62,-0.06,3296,6853,3426,3427,5296,11996,5892,6104,3126,4972,2608,2364,1634,2938,1427,1511,12109,27154,13394,13760,10825,25309,12471,12838,4328,8749,4556,4193,2857,5318,2836,2482
2021-04-01,43381,93351,46621,46730,-967,-1.02,3294,6879,3438,3441,5252,11945,5875,6070,3129,4984,2607,2377,1621,2941,1428,1513,12122,27245,13443,13802,10803,25300,12443,12857,4297,8716,4536,4180,2863,5341,2851,2490
2021-03-01,44073,94318,47005,47313,-125,-0.13,3394,6987,3472,3515,5271,11938,5873,6065,3241,5125,2670,2455,1753,3084,1462,1622,12252,27497,13571,13926,10830,25411,12506,12905,4368,8825,4569,4256,2964,5451,2882,2569
2021-02-01,44026,94443,47077,47366,90,0.1,3387,6992,3473,3519,5258,11900,5853,6047,3240,5134,2675,2459,1751,3097,1470,1627,12254,27571,13606,13965,10837,25527,12583,12944,4338,8798,4549,4249,2961,5424,2868,2556
2021-01-01,43874,94353,47038,47315,154,0.16,3385,6995,3478,3517,5173,11721,5750,5971,3237,5152,2682,2470,1744,3106,1469,1637,12251,27621,13645,13976,10800,25542,12597,12945,4325,8790,4547,4243,2959,5426,2870,2556
